# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
     18.36303996  0.145841722862056E-142
     18.41828529  0.986621328924705E-149
     18.47353061  0.492297882075096E-155
     18.52877594  0.181173208038867E-161
     18.58402127  0.491732982239956E-168
     18.63926659  0.984273684014500E-175
     18.69451192  0.145290209463434E-181
     18.74975724  0.158151916159622E-188
     18.80500257  0.126944757927003E-195
     18.86024790  0.751350722449775E-203
     18.91549322  0.327902322414940E-210
     18.97073855  0.105513278986542E-217
     19.02598387  0.250333123424775E-225
     19.08122920  0.437891500305388E-233
     19.13647453  0.564729926104019E-241
     19.19171985  0.536946357131692E-249
     19.24696518  0.376380510972977E-257
     19.30221050  0.194500341692145E-265
     19.35745583  0.740972420733982E-274
     19.41270116  0.208096166209634E-282
     19.46794648  0.430822999543475E-291
     19.52319181  0.657505368168965E-300
     19.57843714  0.000000000000000E+000
     19.63368246  0.000000000000000E+000
     19.68892779  0.000000000000000E+000
     19.74417311  0.000000000000000E+000
     19.79941844  0.000000000000000E+000
     19.85466377  0.000000000000000E+000
     19.90990909  0.000000000000000E+000
     19.96515442  0.000000000000000E+000
     20.02039974  0.000000000000000E+000
     20.07564507  0.000000000000000E+000
     20.13089040  0.000000000000000E+000
     20.18613572  0.000000000000000E+000
     20.24138105  0.000000000000000E+000
     20.29662638  0.000000000000000E+000
     20.35187170  0.000000000000000E+000
     20.40711703  0.000000000000000E+000
     20.46236235  0.000000000000000E+000
     20.51760768  0.000000000000000E+000
     20.57285301  0.000000000000000E+000
     20.62809833  0.000000000000000E+000
     20.68334366  0.000000000000000E+000
     20.73858898  0.000000000000000E+000
     20.79383431  0.000000000000000E+000
     20.84907964  0.000000000000000E+000
     20.90432496  0.000000000000000E+000
     20.95957029  0.000000000000000E+000
     21.01481561  0.000000000000000E+000
     21.07006094  0.000000000000000E+000
     21.12530627  0.000000000000000E+000
     21.18055159  0.000000000000000E+000
     21.23579692  0.000000000000000E+000
     21.29104225  0.000000000000000E+000
     21.34628757  0.000000000000000E+000
